I, Yo
Me, Mi
You, Tu
He, El
She, Ella
It, Lo
Am, soy
Is, es
Are, son
Yes, si
Go, va
Here, aqui
This, este
There, aquella
Have, tiene
The, el
A, a 
Car, coche
Bus, autobus
Blue, azul
Green, verde
Sky, cielo
House, casa
School, escuela
Clase, clase
Cat, gato
Dog, perro
Horse, caballo
Pig, cerdo
Latin, latin
Soap, jabon
food, comida
homework, tarea
computer, computadora
teacher, profesor
man, hombre
woman, mujer
good, bueno
bad, malo
program, programa
speak, habla
Will, esposibleque
Hello, Hola
Hi, Hola
bathroom, bano
what, que
where, donde
